source_file,subject,scenario,bpm,total_rows,valid_rows,valid_ratio,windows_produced,signal_std_mean,signal_rms_mean,signal_ptp_mean,zero_crossing_rate_mean,dominant_bpm_fft_mean
HAU1_Fast_Take05_BPM26_20260418_194704.csv,HAU1,Fast,26.0,720,719,0.9986,40,1.0,1.0,4.97109,0.054515,12.25
HAU1_Noise_Take01_BPM17_20260418_183205.csv,HAU1,Noise,17.0,643,642,0.9984,35,1.0,1.0,5.197875,0.062494,16.057143
HAU1_Noise_Take02_BPM17_20260418_184102.csv,HAU1,Noise,17.0,651,650,0.9985,36,1.0,1.0,5.327732,0.05379,11.944444
HAU1_Noise_Take03_BPM17_20260418_184950.csv,HAU1,Noise,17.0,681,680,0.9985,39,1.0,1.0,5.124295,0.054112,13.076923
HAU1_Noise_Take04_BPM17_20260418_185726.csv,HAU1,Noise,17.0,706,705,0.9986,40,1.0,1.0,4.989357,0.06087,15.0
HAU1_Noise_Take05_BPM17_20260418_190344.csv,HAU1,Noise,17.0,653,652,0.9985,36,1.0,1.0,4.75765,0.048588,10.888889
HAU1_Normal_Take01_BPM17_20260418_175100.csv,HAU1,Normal,17.0,685,684,0.9985,39,1.0,1.0,4.835954,0.041592,9.487179
HAU1_Normal_Take02_BPM17_20260418_175914.csv,HAU1,Normal,17.0,631,630,0.9984,34,1.0,1.0,5.217885,0.063349,15.705882
HAU1_Normal_Take03_BPM17_20260418_180753.csv,HAU1,Normal,17.0,613,612,0.9984,32,1.0,1.0,4.725924,0.065531,20.625
HAU1_Normal_Take04_BPM17_20260418_181427.csv,HAU1,Normal,17.0,642,641,0.9984,35,1.0,1.0,5.195579,0.056665,12.742857
HAU1_Normal_Take05_BPM17_20260418_182131.csv,HAU1,Normal,17.0,654,653,0.9985,36,1.0,1.0,4.922697,0.06531,18.222222
HAU1_Slow_Take01_BPM12_20260418_171107.csv,HAU1,Slow,12.0,605,604,0.9983,31,1.0,1.0,4.71547,0.051678,10.903226
HAU1_Slow_Take02_BPM12_20260418_171855.csv,HAU1,Slow,12.0,601,600,0.9983,31,1.0,1.0,4.692498,0.05869,13.096774
HAU1_Slow_Take03_BPM12_20260418_172612.csv,HAU1,Slow,12.0,614,613,0.9984,32,1.0,1.0,4.756673,0.058529,18.0
HAU1_Slow_Take04_BPM12_20260418_173436.csv,HAU1,Slow,12.0,625,624,0.9984,33,1.0,1.0,4.716324,0.043681,10.242424
HAU1_Slow_Take05_BPM12_20260418_174448.csv,HAU1,Slow,12.0,610,609,0.9984,31,1.0,1.0,5.004525,0.059661,10.645161
